Timestamp,Eventos,Duração(min),Intensidade(%)
2025-10-28 13:05:34,1,0.016666666666666666,89
2025-10-28 13:05:35,1,0.016666666666666666,89
2025-10-28 13:05:36,1,0.016666666666666666,89
2025-10-28 13:05:37,1,0.016666666666666666,89
2025-10-28 13:05:38,1,0.016666666666666666,89
2025-10-28 13:05:39,1,0.016666666666666666,89
2025-10-28 13:05:40,1,0.016666666666666666,89
2025-10-28 13:05:41,1,0.016666666666666666,89
2025-10-28 13:05:42,1,0.016666666666666666,89
2025-10-28 13:05:43,1,0.016666666666666666,89
2025-10-28 13:05:44,1,0.016666666666666666,90
2025-10-28 13:05:45,1,0.016666666666666666,90
2025-10-28 13:05:46,1,0.016666666666666666,90
2025-10-28 13:05:47,1,0.016666666666666666,90
2025-10-28 13:05:48,1,0.016666666666666666,90
2025-10-28 13:05:49,1,0.016666666666666666,90
2025-10-28 13:05:50,1,0.016666666666666666,92
2025-10-28 13:05:51,1,0.016666666666666666,92
2025-10-28 13:05:52,1,0.016666666666666666,92
2025-10-28 13:05:53,1,0.016666666666666666,92
2025-10-28 13:05:54,1,0.016666666666666666,89
2025-10-28 13:05:55,1,0.016666666666666666,89
2025-10-28 13:05:56,1,0.016666666666666666,89
2025-10-28 13:05:57,1,0.016666666666666666,89
2025-10-28 13:05:58,1,0.016666666666666666,89
2025-10-28 13:05:59,1,0.016666666666666666,89
2025-10-28 13:06:00,1,0.016666666666666666,89
2025-10-28 13:06:01,1,0.016666666666666666,89
2025-10-28 13:06:02,1,0.016666666666666666,89
2025-10-28 13:06:03,1,0.016666666666666666,89
2025-10-28 13:06:04,1,0.016666666666666666,92
2025-10-28 13:06:05,1,0.016666666666666666,92
2025-10-28 13:06:06,1,0.016666666666666666,92
2025-10-28 13:06:07,1,0.016666666666666666,92
2025-10-28 13:06:08,1,0.016666666666666666,92
2025-10-28 13:06:09,1,0.016666666666666666,92
2025-10-28 13:06:10,1,0.016666666666666666,92
2025-10-28 13:06:11,1,0.016666666666666666,92
2025-10-28 13:06:12,1,0.016666666666666666,92
2025-10-28 13:06:13,1,0.016666666666666666,89
2025-10-28 13:06:14,1,0.016666666666666666,89
2025-10-28 13:06:15,1,0.016666666666666666,92
2025-10-28 13:06:16,1,0.016666666666666666,92
2025-10-28 13:06:17,1,0.016666666666666666,92
2025-10-28 13:06:18,1,0.016666666666666666,92
2025-10-28 13:06:19,1,0.016666666666666666,92
2025-10-28 13:06:20,1,0.016666666666666666,92
2025-10-28 13:06:21,1,0.016666666666666666,92
2025-10-28 13:06:22,1,0.016666666666666666,92
2025-10-28 13:06:23,1,0.016666666666666666,89
2025-10-28 13:06:24,1,0.016666666666666666,89
